,x,y,vx,vy,E_total,E_kin,E_pot
107,-6.911593742368118,-94.84086809483405,1.1655412745279146,7.130516457151259,-67469.8249558734,2349.1238133749894,-69818.94876924838
108,-6.60331606114713,-93.12971030656675,1.298845158138367,6.5460623914726845,-67534.69297829762,2004.206921004265,-69538.89989930188
109,-6.263070180237442,-91.57382283487004,1.4213686072904683,5.889817672226741,-67584.58993380622,1651.9608418439373,-69236.55077565015
110,-5.893485734479175,-90.19004927261386,1.5336492190658706,5.170632171585986,-67620.92243898626,1308.9382641441612,-68929.86070313043
111,-5.497049908060824,-88.99301096100011,1.6362795630355562,4.397422861828244,-67645.75766452041,990.6632385361892,-68636.4209030566
112,-5.076101081254844,-87.99509729213031,1.7298465373576712,3.579122455401718,-67661.53389839089,711.1118967106117,-68372.6457951015
113,-4.632839196122865,-87.20646473755637,1.8148561273643204,2.724662103685069,-67670.76264529022,482.28688540302136,-68153.04953069324
114,-4.1693587082556025,-86.63503448483206,1.8916228591920319,1.8430052585394114,-67675.75377402015,313.87074409897923,-67989.62451811913
115,-3.687717800975594,-86.28646919871579,1.9600821883389778,0.9433004032006083,-67678.40235800324,212.9282026074966,-67891.33056061073
116,-3.1900669490534814,-86.16407812820103,2.019517570110947,0.03534297182146462,-67680.10311777626,183.58651537397984,-67863.68963315024
117,-2.678828952804383,-86.26854999623811,2.068512549826998,-0.8695514806624988,-67681.89777803856,226.56887758413598,-67908.4666556227
118,-2.1568085320205173,-86.59749949448761,2.105560680302139,-1.7581573790868044,-67684.85404609462,338.6026416632305,-68023.45668775786
119,-1.6271303006224636,-87.14508530522791,2.1296530954428885,-2.6162688981723448,-67690.38508315054,512.1128364513036,-68202.49791960184
120,-1.0931061907269197,-87.90192229315886,2.14027157150465,-3.4299063410320194,-67700.27508468187,735.5258958619187,-68435.80098054378
121,-0.5581356192298456,-88.85524144888072,2.1372089002712396,-4.186071507183586,-67716.47470927608,994.0885445993787,-68710.56325387547
122,-0.02564339330907739,-89.98919457824562,2.120456396743619,-4.873186024498518,-67740.79901889955,1270.9924811936373,-69011.79150009318
123,0.5009623704729583,-91.28524627704111,2.0901503120032072,-5.481366502032833,-67774.61991356185,1548.6348175368641,-69323.25473109871
124,1.0183229041133213,-92.72262041234912,2.0465461779310874,-6.002590157902979,-67818.61504664453,1809.8747937971125,-69628.48984044163
125,1.5231567190650117,-94.27877639238373,1.9900048777917714,-6.430769701784719,-67872.61391162459,2039.1713266962315,-69911.78523832082
126,2.0122847073905232,-95.92989407886648,1.9209831452279358,-6.76174957830016,-67935.56098247778,2223.514512175149,-70159.07549465293
127,2.4826530557237274,-97.65134923215453,1.8400252141801037,-6.993236220181368,-68005.59545008642,2353.0970529033807,-70358.6925029898
128,2.931354056719065,-99.41816473077286,1.7477542095239886,-7.124676422154118,-68080.22968892439,2421.7046503788433,-70501.93433930323
129,3.355644681197458,-101.20542644019544,1.6448628160403345,-7.157098610117283,-68156.59630727499,2426.83353893407,-70583.42984620905
130,3.7529627287323475,-102.98865626470173,1.532103271713674,-7.092931321733982,-68231.72752927306,2369.5656826513823,-70601.29321192444
131,4.120940422638245,-104.74413833392042,1.4102769931372867,-6.935811787655629,-68302.83054740037,2254.2464858019803,-70557.07703320235
132,4.457415408067062,-106.44919724795409,1.2802242462252673,-6.690395422268445,-68367.52725007592,2088.0164262120124,-70455.54367628793
133,4.760439217277328,-108.08242971096861,1.1428142784134476,-6.362174636311141,-68424.03474371842,1880.2480760039903,-70304.2828197224
134,5.028283363638684,-109.62389268146592,0.9989362684224771,-5.957312961337121,-68471.27263322205,1641.9353124458285,-70113.20794566788
135,5.2594433038068615,-111.05525238005765,0.8494913572903655,-5.482498240997965,-68508.89259690046,1385.0740137895564,-69893.96661069003
136,5.452640560796961,-112.35989918724098,0.6953859235272929,-4.944816727068262,-68537.23427707682,1122.0648321120293,-69659.29910918884
137,5.606823329620119,-113.52303372247283,0.5375261739301543,-4.351648376471986,-68557.2182252681,865.1600091050067,-69422.37823437309
138,5.721165896092859,-114.53172931671944,0.3768140559519768,-3.7105824804924357,-68570.19130275575,625.968502978517,-69196.15980573426
139,5.795067197646335,-115.37497576379914,0.2141444844196839,-3.029351932287554,-68577.74255611049,415.0273945437769,-68992.76995065427
140,5.828148864165934,-116.04370873941633,0.050404005026334325,-2.315783897664997,-68581.50837429526,241.4428030983231,-68822.95117739358
141,5.82025317289986,-116.53082867552656,-0.11352825256169591,-1.5777643593797936,-68582.98501339884,112.60030670364793,-68695.58532010247
142,5.771441962075489,-116.83121225961541,-0.27677152049999104,-0.8232144844298838,-68583.36479902323,33.94280528707664,-68617.3076043103
143,5.682003396245959,-116.9417205558563,-0.4383538051395577,-0.06011050816704677,-68583.41226315808,8.809529925259346,-68592.22179308334
144,5.5525423044432065,-116.86128944850488,-0.596581216480973,0.702559363774565,-68583.4693216811,38.227446336835754,-68621.69676801792
145,5.384178545754919,-116.5914659909641,-0.7492427410445729,1.4529218362220746,-68583.89932327815,120.25559462305094,-68704.1549179012
146,5.178536842861011,-116.13690466791506,-0.8945249959721852,2.1784087817108233,-68585.48043915322,249.5537904894242,-68835.03422964264
147,4.937663218848273,-115.50533607942248,-1.0308539096375826,2.8670614209959937,-68589.34839156386,417.7215438650395,-69007.0699354289
148,4.66396989433942,-114.7073667292834,-1.156877054520304,3.5078781341739553,-68596.81328865694,613.9608085571097,-69210.77409721405
149,4.360177261937043,-113.75620716934259,-1.2714847863637235,4.091064766361303,-68609.14508196765,825.9068018032768,-69435.05188377092
