,x,y,vx,vy,E_total,E_kin,E_pot
93,14.856023691549968,-178.78694269448576,-10.411676759387515,-12.958890642724553,-8.599536780093331,12435.113683442883,-12443.71322022297
94,12.187760713382843,-181.49736765084836,-10.918337048168237,-8.70017453513723,-8.601704372296808,8770.640437766404,-8779.242142138712
95,9.405201577170097,-183.1272748618203,-11.324948967908865,-4.324567222923961,-8.603946386399912,6613.0357856097735,-6621.639731996198
96,6.534107680615776,-183.6548746138696,-11.625819047970761,0.10825894746002618,-8.606259886728367,6082.712484113922,-6091.318744000659
97,3.6014347119971433,-183.0734152536956,-11.81709799607636,4.537816276022209,-8.608644944208208,7210.601172171179,-7219.209817115392
98,0.6348636431542647,-181.39127823467908,-11.896841480913405,8.903672968754318,-8.611104753770633,9936.46033004287,-9945.071434796642
99,-2.3376812649866894,-178.6318550811935,-11.86505319521057,13.146324828213675,-8.61364591869642,14112.240471633775,-14120.854117552488
100,-5.288522992569312,-174.83320743724596,-11.723710098410299,17.20805722259604,-8.616278923262144,19510.31753314683,-19518.933812070085
101,-8.19072640474019,-170.0475138610386,-11.476770174628063,21.033787573315145,-8.619018820289057,25836.141299426046,-25844.76031824632
102,-11.018592721497093,-164.34030938715955,-11.130163430402396,24.571879290538625,-8.621886167209595,32744.600543532048,-32753.222429699264
103,-13.748149744972173,-157.7895260275676,-10.691767138358104,27.774919083515332,-8.6249082449649,39859.20065865143,-39867.8255668964
104,-16.35763404269099,-150.48434424365513,-10.171366412669324,30.600450880851817,-8.628120579378447,46792.99299654911,-46801.621117128496
105,-18.827961532132008,-142.52386691876546,-9.5806009294328,33.01166119221579,-8.631568742726813,53170.095997741264,-53178.72756648398
106,-21.143183023194812,-134.01562843038724,-8.932897746681107,34.97801254203493,-8.635310299243429,58646.6110594536,-58655.24636975285
107,-23.290921064349273,-125.07395203646718,-8.243388393605427,36.475823390967186,-8.639416499310755,62929.76149155858,-62938.4009080579
108,-25.262783618957588,-115.8181690060346,-7.528805233775711,37.48879426296341,-8.643972762714839,65794.16715925171,-65802.81113201442
109,-27.054748263310337,-106.37071296363607,-6.807347072630996,38.0084797043808,-8.649075834269752,67094.30266225131,-67102.95173808558
110,-28.667507237833608,-96.855103309948,-6.098496818974864,38.034702634938895,-8.65482330629311,66772.36205906734,-66781.01688237365
111,-30.106758317236075,-87.3938333522158,-5.422765368869814,37.575899243623695,-8.661287665003329,64860.956469574805,-64869.6177572398
112,-31.38341901276111,-78.10618360167804,-4.801328564516448,36.64936619491073,-8.668463141584652,61480.295931289824,-61488.96439443141
113,-32.51373314162752,-69.10599073848151,-4.255524650077819,35.28135682116866,-8.676175052656617,56829.763313551986,-56838.43948860464
114,-33.51923250975712,-60.499419602083286,-3.8061983795953034,33.506945658920586,-8.683962934657757,51174.1149072611,-51182.79887019576
115,-34.42544832352274,-52.3784953282712,-3.457424821639508,31.42930668959789,-2.069204990832077,44988.979742374126,-44991.04894736496
116,-35.25391535701256,-44.79466378110044,-3.1820968026285064,29.22393129422818,-2.070718653681979,38887.37551579805,-38889.44623445173
